Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers100padding1mb
RecordLimit:,10000
Workers:,100
PaddingSize:,1mb
Workload:,insert


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,0,0.0,0.0
1.1,1.2,0,0.0,0.0
1.2,1.3,0,0.0,0.0
1.3,1.5,0,0.0,0.0
1.5,1.6,0,0.0,0.0
1.6,1.8,0,0.0,0.0
1.8,1.9,0,0.0,0.0
1.9,2.1,0,0.0,0.0
2.1,2.4,0,0.0,0.0
2.4,2.6,0,0.0,0.0
2.6,2.9,0,0.0,0.0
2.9,3.1,0,0.0,0.0
3.1,3.5,0,0.0,0.0
3.5,3.8,0,0.0,0.0
3.8,4.2,0,0.0,0.0
4.2,4.6,0,0.0,0.0
4.6,5.1,0,0.0,0.0
5.1,5.6,0,0.0,0.0
5.6,6.1,0,0.0,0.0
6.1,6.7,0,0.0,0.0
6.7,7.4,1,0.0,0.0
7.4,8.1,0,0.0,0.0
8.1,9.0,0,0.0,0.0
9.0,9.8,2,0.0,0.0
9.8,10.8,1,0.0,0.0
10.8,11.9,11,0.1,0.1
11.9,13.1,27,0.3,0.4
13.1,14.4,23,0.2,0.6
14.4,15.9,48,0.5,1.1
15.9,17.4,101,1.0,2.1
17.4,19.2,111,1.1,3.2
19.2,21.1,96,1.0,4.2
21.1,23.2,119,1.2,5.3
23.2,25.5,143,1.4,6.8
25.5,28.1,172,1.7,8.5
28.1,30.9,94,0.9,9.4
30.9,34.0,120,1.2,10.6
34.0,37.4,83,0.8,11.4
37.4,41.1,70,0.7,12.1
41.1,45.3,57,0.6,12.7
45.3,49.8,61,0.6,13.3
49.8,54.8,52,0.5,13.8
54.8,60.2,53,0.5,14.3
60.2,66.3,71,0.7,15.0
66.3,72.9,117,1.2,16.2
72.9,80.2,158,1.6,17.7
80.2,88.2,168,1.7,19.4
88.2,97.0,240,2.4,21.8
97.0,106.7,276,2.7,24.5
106.7,117.4,376,3.7,28.2
117.4,129.1,375,3.7,31.9
129.1,142.0,344,3.4,35.4
142.0,156.2,265,2.6,38.0
156.2,171.9,181,1.8,39.8
171.9,189.1,119,1.2,40.9
189.1,208.0,59,0.6,41.5
208.0,228.8,57,0.6,42.1
228.8,251.6,50,0.5,42.6
251.6,276.8,30,0.3,42.9
276.8,304.5,27,0.3,43.2
304.5,334.9,56,0.6,43.7
334.9,368.4,43,0.4,44.1
368.4,405.3,33,0.3,44.5
405.3,445.8,24,0.2,44.7
445.8,490.4,26,0.3,45.0
490.4,539.4,16,0.2,45.1
539.4,593.3,24,0.2,45.4
593.3,652.7,24,0.2,45.6
652.7,718.0,30,0.3,45.9
718.0,789.7,44,0.4,46.3
789.7,868.7,64,0.6,47.0
868.7,955.6,48,0.5,47.4
955.6,1051.2,83,0.8,48.3
1051.2,1156.3,129,1.3,49.5
1156.3,1271.9,348,3.4,53.0
1271.9,1399.1,454,4.5,57.5
1399.1,1539.0,659,6.5,64.0
1539.0,1692.9,739,7.3,71.3
1692.9,1862.2,422,4.2,75.5
1862.2,2048.4,372,3.7,79.2
2048.4,2253.2,250,2.5,81.7
2253.2,2478.6,139,1.4,83.0
2478.6,2726.4,184,1.8,84.9
2726.4,2999.1,254,2.5,87.4
2999.1,3299.0,337,3.3,90.7
3299.0,3628.9,172,1.7,92.4
3628.9,3991.8,161,1.6,94.0
3991.8,4390.9,145,1.4,95.4
4390.9,4830.0,163,1.6,97.1
4830.0,5313.0,76,0.8,97.8
5313.0,5844.3,76,0.8,98.6
5844.3,6428.8,48,0.5,99.0
6428.8,7071.6,27,0.3,99.3
7071.6,7778.8,34,0.3,99.6
7778.8,8556.7,14,0.1,99.8
8556.7,9412.3,14,0.1,99.9
9412.3,10353.6,3,0.0,100.0
10353.6,11388.9,4,0.0,100.0
11388.9,inf,1,0.0,100.0
